"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-10-30",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-10-31",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-11-01",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-11-02",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-11-03",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-11-04",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-11-05",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-11-06",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-11-07",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-11-08",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-11-09",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-11-10",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-11-11",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-11-12",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-11-13",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-11-14",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-11-15",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-11-16",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-11-17",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-11-18",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-11-19",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-11-20",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-11-21",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-11-22",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-11-23",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-11-24",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-11-25",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-11-26",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-11-27",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-11-28",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-11-29",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-11-30",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-12-01",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-12-02",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-12-03",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-12-04",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-12-05",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-12-06",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-12-07",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-12-08",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-12-09",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-12-10",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-12-11",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-12-12",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-12-13",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-12-14",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-12-15",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-12-16",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-12-17",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-12-18",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-12-19",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-12-20",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-12-21",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-12-22",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-12-23",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-12-24",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-12-25",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-12-26",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-12-27",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-12-28",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-12-29",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-12-30",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2009-12-31",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2010-01-01",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2010-01-02",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2010-01-03",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2010-01-04",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2010-01-05",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2010-01-06",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2010-01-07",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2010-01-08",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2010-01-09",,,
"US1OHMD0002","BRUNSWICK 0.5 NE, OH US","2010-01-10",,,
